1 Leader Name,1 Title,1 Role,2 Leader Name,2 Title,2 Role,3 Leader Name,3 Title,3 Role,Founding Year,Year Pastor Joined,Pastor Bio,Statement of Faith,Mission statement,Welcome Message,Church Name,Denomination,Affiliations,Similar To,Street 2,Street 1,Street 2,City,State,Zip,Church Phone Number,Church Email contact,Website,Parking,Blog,Facebook,Twitter,Google Plus,Instagram,YouTube,Podcast,Other social media,Service Details,other language services,Languages,Size,Programs & Ministries - Nursery Care,Programs & Ministries - Education,Programs & Ministries - Age Groups,Programs & Ministries - Gender Groups,Programs & Ministries - Music and Arts,Programs & Ministries - Social,Programs & Ministries - Spiritual,Programs & Ministries - Support and Counseling,Programs & Ministries - Outreach,Special Needs Accommodations,"If ""other"", please explain below.",Gay Affirming,"If Other, add below",Home Church,"If Other, add below",1 ServiceDay,1 StartTime,1 StartTimeRange,1 Language,1 MusicStyle,1 ServiceStyle,1 DressAttire,1 AgeDemographic,1 InstrumentTypes,1 Duration,2 ServiceDay,2 StartTime,2 StartTimeRange,2 Language,2 MusicStyle,2 ServiceStyle,2 DressAttire,2 AgeDemographic,2 InstrumentTypes,2 Duration,3 ServiceDay,3 StartTime,3 StartTimeRange,3 Language,3 MusicStyle,3 ServiceStyle,3 DressAttire,3 AgeDemographic,3 InstrumentTypes,3 Duration,4 StartTime,4 StartTimeRange,4 Language,4 MusicStyle,4 ServiceStyle,4 DressAttire,4 AgeDemographic,4 InstrumentTypes,4 Duration,5 ServiceDay,5 StartTime,5 StartTimeRange,5 Language,5 MusicStyle,5 ServiceStyle,5 DressAttire,5 AgeDemographic,5 InstrumentTypes,5 Duration,1 Atmosphere,2 Atmosphere,3 Atmosphere,4 Atmosphere,5 Atmosphere
,Pastor,Pastor,,,,,,,,,,,,,Cedar Blvd Neighborhood Church,,,,,38325 Cedar Blvd,,Newark,CA,94560,(510) 791-8555,,cbnc.net,,,,,,,,,,10:30am,,hearing impaired/esl,,,,,,,,,,,,,,,,,,,,,9,9,10,all ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||9|9|10|all ages|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Chinese Church in Christ,,,,,1490 Saratoga Ave,,San Jose,CA,95130,(408) 364-2242,,ccic-sj.org,,,,,,,,,,english service,,,,,,,,,,,,,,,,,,,,,,,7,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||7|6|6|6|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,1975,,,,,,Cornerstone Evangelical baptist church,,,,,501 Cambridge Street,,San Francisco,CA,94134,,,cebc.net,,,,,,,,,,"10am mandarin, 10am Youth english, 1:30pm indonesian",,"mandarin, english for highschool & junior high, indonesian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,1975,,,,,,Cornerstone Evangelical baptist church,,,,,801 Silver Avenue,,San Francisco,CA,94134,,,cebc.net,,,,,,,,,,"10am cantonese, 11:15am english adult",,"cantonese, english",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Chinese for Christ Berkeley Church,,,,,2715 Prince St,,Berkeley,CA,94705,(510) 654-8137,,cfcberkeley.org,,,,,,,,,,,,"mandarin, english",,,,,,,,,,,,,,,,,,,,,9,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||9|10|10|6|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Chinese for Christ Church of Hayward,,,,,22416 Meekland Ave,,Hayward,CA,94541,(510) 581-1630,,cfcchayward.org,,,,,,,,,,for english service,,"english, mandarin",,,,,,,,,,,,,,,,,SUNDAY,,,ENGLISH,8,4,10,6,,,SUNDAY,,,MANDARIN,3,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNDAY|||ENGLISH|8|4|10|6|||,SUNDAY|||MANDARIN|3|4|4|8|||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Church on the corner,,,,,1319 Solano Ave,,Albany,CA,94706,(510) 526-6632,,churchonthecorner.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||6|2|10|7|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Chinese Independent Baptist Church,,,,,280 8th St,,Oakland,CA,94607,(510) 452-1772,info@cibc-oakland.org,cibc-oakland.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||5|5|6|5|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Centerville Presbyterian Church,,,,,4360 Central Ave,,Fremont,CA,94536,(510) 793-3575,,cpcfremont.org,,,,,,,,,,for 9am service,,,,,,,,,,,,,,,,,,,SUNDAY,9:00:00,MID_MORNING,,8,8,9,3,,,SUNDAY,11:00:00,,,3,3,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNDAY|0.375|MID_MORNING||8|8|9|3|||,SUNDAY|0.458333333333333|||3|3|6|8|||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Danville Chinese Bible Church,,,,,2278 Camino Ramon,,San Ramon,CA,94583,(925) 355-9008,,dcbc-church.org,,,,,,,,,,,,"mandarin, english for youth",,,,,,,,,,,,,,,,,,,,,5,5,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||5|5|4|8|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Canaan Taiwanese Christian Church,,,,,4405 Fortran Court ,,San Jose,CA,95134,(408) 942-2822,,ecanaan.org,,,,,,,,,,for english service,,"mandarin, english, taiwanese",,,,,,,,,,,,,,,,,,,,,8,6,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||8|6|8|4|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,New tesament Baptist Church,,,,,6746 34th St,,North Highlands,CA,95660,(916) 344-0440,,e-ntbc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,2,all ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||5|8|2|all ages|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Ephesians Missionary Baptist Church,,,,,1423 34th St,,Oakland,CA,94608,(510) 654-4950,,ephesianoakland.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,5,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||8|5|5|?|||,||||||||||,||||||||||,|||||||||,||||||||||
Emeliano Valle,Pastor,Pastor,,,,,,,1982,1982,"Pastor & Sister Valle have served the ministry for over 60 years. They founded Faith Gospel Center, located in Vallejo,          California in 1982 and have continued serving the Vallejo community for 31 years.     Pastor and Sister Valle have raised four children, have 16 grandchildren and 9 great-grandchildren.","1. We believe the Bible to be the Inspired, the only infallible, authoritative Word of God.2. We believe that there is one God eternally existent in three persons, Father, Son and Holy Spirit.3. We believe in the Deity of our Lord Jesus Christ. In His virgin birth. In His sinless life. In His miracles. In His vicarious atoning death through His shed blood. In His bodily resurrection. In His ascension to the right hand of the Father and in His personal return in the power and glory.4. We believe that for the salvation of lost and sinful man, regeneration by the Holy Spirit is absolutely essential.5. We believe in the present ministry of the Holy Spirit by whose indwelling the Christian is enabled to live a godly life.6. We believe in the resurrection of both the saved and the lost; they that are saved unto the resurrection of life, they that are lost unto the resurrection of damnation.7. We believe in the spiritual unity of believers in our Lord Jesus Christ.","To see the Lord Jesus glorified through His people, united in love andmanifesting a quality of life that causes the world to be envious and curious.",,Faith Gospel Center,,,,,1801 Solano Ave,,Vallejo,CA,94590,(707) 644-2237,faithgospelcenter@yahoo.com,faithgospelcenter.com,,,https://www.facebook.com/groups/faithgospelcenter/,,,,,,,-Wednesday Prayer Meeting @7:30pm,,,,,,,,,,,,,,,,,,,SUNDAY,10:30:00,MID_MORNING,,5,5,5,all ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNDAY|0.4375|MID_MORNING||5|5|5|all ages|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Family Life community church,,,,,562 Lewelling Blvd,,San leandro,CA,94578,(510) 343-4408,,familylifecc.net,,,,,,,,,,-Friday Youth Fellowship ,,,99,,,,,,,,,,,,,,,,,,,,6,4,8,young families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||6|4|8|young families|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Fleton Bible church,,,,,5999 Graham Hill Rd,,Felton,CA,95018,(831) 335-3418,,feltonbiblechurch.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||5|4|8|6|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,SF Full Gospel Chapel,,,,,1480 Ellis St,,San Francisco,CA,94115,(415) 292-5370,,fgsfem.weebly.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||6|5|7|9|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,First Presbyterian Church,,,,,1965 Colfax St,,Concord,CA,94520,(925) 676-7177,,fpcconcord.org,,,,,,,,,,,,tongan,,,,,,,,,,,,,,,,,,,,,5,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||5|5|5|8|||,||||||||||,||||||||||,|||||||||,||||||||||
Dr. Tim Hines,Pastor,Pastor,,,,,,,1949,,"Dr. Hines is a recent transplant from southern Mississippi.  He has been the pastor of First Southern Baptist since October of 2012.  He is the husband of one wife and father of two daughters.  Our pastor is a conservative, fundamental Bible believing pastor with a passion to preach God's word with fervor and compassion.  With over twenty years of ministerial experience, our pastor has a passion to spread the Gospel to the unsaved world, and lead our membership to participate in the ""Great Commission"" as referenced in Acts 1:8.Our pastor has several earned degrees from Jacksonville Baptist Theological Seminary, Jacksonville, FL. and New Orleans Baptist Theological Seminary, New Orleans, LA.Pastor Tim is an outdoorsman!  He has fallen in love with California's beautiful landscape and has already caught his share of trout from several ""secret"" fishing holes!May God use our combined talents to reach our community with the Gospel of Christ and share his love wherever we go. ","Our purpose is to glorify God, love one another and reach the world for Christ. ","We believe that every word of the Bible is inspired by God, that it does not contain any errors, and that it is the supreme authority for our faith and life.  (II Timothy 3:16-17 / II Peter 1:20,21)    We believe that God eternally exists in three p","We would be delighted to have you join us in our weekly services. We look forward to meeting you and welcome you to our church. We pray for God's blessings on your life, and hope you will visit our campus soon.Your Friend in Christ,Dr. Tim Hines",First Southern Baptist Church,Southern Baptist,Southern Baptist Convention,,,15503 Usher St.,,San Lorenzo,CA,94580,(510) 276-3688,church@fsbcsl.org,fsbcsl.org,Parking lot,,,,,,,,,"Sunday School - 9:30amSunday Morning Worship - 10:45amSunday Evening Worship - 6:00pmTuesday Prayer Meeting - 6:30pmWednesday Evening Dinner - 5:00pmWednesday Bible Study - 5:45pm",,,,"INFANT_ CARE, TODDLER_CARE",BIBLE_STUDY,"CHILDRENS_GROUP, JUNIOR_HIGH_GROUP, HIGH_SCHOOL_GROUP","MENS_GROUP, WOMENS_GROUP",CHOIR,,PRAYER_GROUP,,MISSION_OUTREACH,Wheelchair access,,FALSE,,,,SUNDAY,10:45:00,LATE_MORNING,,3,5,7,8,,1:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNDAY|0.447916666666667|LATE_MORNING||3|5|7|8||0.0520833333333333|,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Great Commission Christian Church,,,,,1615 Carlson Blvd,,Richmond,CA,94804,(510) 524-9610,,gccubed.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||8|4|10|4|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Golden Gate Christian Reformed Church,,,,,378 18th Ave,,San Francisco,CA,94121,(415) 751-2242,,ggcrc.org,,,,,,,,,,styles for the english service,,english/mandarin/cantanese,,,,,,,,,,,,,,,,,,,,,8,6,7,all ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||8|6|7|all ages|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Golden Hills Community Church,,,,Antioch campus,1800 Woodland Dr,,antioch,CA,94509,,,goldenhills.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||8|6|8|6|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Golden Hills Community Church,,,,brentwood campus,2401 Shady Willow Lane,,brentwood,CA,94513,(925) 516-0653,,goldenhills.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
Dr. J.C. Sanders,Pastor,Pastor,,,,,,,,,,,,,Greater United Faith Apostolic Church ,Apostolic ,,,,6934 North Long Beach Boulevard ,,Long Beach,CA,90805,(310) 639-0434,,greaterunitedfaith.weebly.com ,,,http://facebook.com/profile.php?id=148995085156010 ,http://twitter.com/greaterunited ,,,,,," Traditional worship music Printed bulletin or order of worship service Communion, Eucharist, or Lord's Supper Altar call or invitation  ",,,101,,BIBLE_STUDY,"CHILDRENS_GROUP, HIGH_SCHOOL_GROUP  ","WOMENS_GROUP, MENS_GROUP",,,,,,,,,,,,,,,,,,Formal and informal attire is common ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||Formal and informal attire is common ||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Great Exchange Covenant Church,,,,,562 N Britton Ave,,Sunnyvale,CA,94085,,,grx.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,8,young families/professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||8|6|8|young families/professionals|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Greater St. Paul Baptist Church,,,,,1827 MARTIN LUTHER KING JR. WAY,,Oakland,CA,94612,(510) 452-0803,INFO@GSPBC.ORG,gspbc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,6,"young adults/college, post college, all ages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"||||7|10|6|young adults/college, post college, all ages|||",||||||||||,||||||||||,|||||||||,||||||||||
Joy Johnson ,Pastor,Pastor,,,,,,,,,,,,,Higher Hope Christian Church ,Non-Denominational,,,,5852 Santa Fe Way ,,North Highlands,CA,95660,(916) 991-9110,,higherhopechurch.webs.com ,,,,,,,,,," Contemporary worship music Printed bulletin or order of worship service Communion, Eucharist, or Lord's Supper Altar call or invitation  ",,,99,,BIBLE_STUDY,"CHILDRENS_GROUP, HIGH_SCHOOL_GROUP  ",,,,,,,,,,,,,,,,,,,Informal or casual attire is common ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||Informal or casual attire is common ||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Hillview Bible Chapel,,,,,1160 S Stelling Rd,,cupertino,CA,95014,(408) 446-0996,,hillviewbiblechapel.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7,all ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||5|5|7|all ages|||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Iglesia Bethel,Assemblies of God,,,,920 Bennett Valley Rd,,Santa Rosa,CA,95404,,,http:// www.iglesiabethel.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Iglesia Monte De Sion,Assemblies of God,,,,240 Rio del Mar,,American Canyon,CA,94503,,,http://105859.agchurches.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Tongan Christian Assembly of God in East Palo Alto,Assemblies of God,,,,1136 Saratoga Ave,,East Palo Alto,CA,94303,,,http://105999.agchurches.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,360 Church of the Assemblies of God,Assemblies of God,,,,2107 Dwight Way Ste 2100,,Berkeley,CA,94704,,,http://360church.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Balboa Baptist Church,Baptist,,,,200 Onondaga Ave,,San Francisco,CA,94112,(415) 585-3778,balboa.baptist@gmail.com,http://4155853778.lifewaylink.com/,,,,,,,,,,"Sunday Activities: (all at Balboa Baptist) _ 9:45 AM – Sunday School _ 11:00 AM – Morning Worship _ 5:00 PM – Evening Bible Study & Worship",,,99,,,,,,,,,"COMMUNITY_SERVICE, FOOD_PANTRY_OUTREACH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Adobe Christian Center,Assemblies of God,,,,2875 Old Adobe Rd,,Petaluma,CA,94954,,,http://adobecc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Alameda Seventh-day Adventist Church,Seventh-day Adventist,,,,1515 Verdi St,,Alameda,CA,94501,,,http://alameda22.adventistchurchconnect.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Alameda-East Bay Chinese Seventh-day Adventist Church,Seventh-day Adventist,,,,842 Central Ave,,Alameda,CA,94501,,,http://alamedaeastbaychinese.adventistchurchconnect.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,Chosen Vessels Christian Baptist Church,Baptist,,,,710 Haight Ave,,Alameda,CA,94501,,,http://alldifferent.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
,Pastor,Pastor,,,,,,,,,,,,,American Canyon Fil-Am Seventh-day Adventist Company,Seventh-day Adventist,,,,240 Rio del Mar,,American Canyon,CA,94503,,,http://americancanyonfilam22.adventistchurchconnect.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,||||||||||,||||||||||,||||||||||,|||||||||,||||||||||
